#Benchtime! 
#ms	 kbyte
0 0 0 0
1 4096 805 1024
2 4096 0 0
3 4096 3570 4096
4 4096 0 0
5 8192 1311 2048
6 8192 0 0
7 12288 1011 2048
8 12288 3852 6144
9 12288 1011 2048
10 12288 2549 4096
11 12288 1011 2048
12 12288 0 0
13 12288 2533 4096
14 12288 4971 8192
15 16384 5304 8704
16 16384 4971 8192
17 16384 2533 4096
18 16384 0 0
19 16384 2703 4096
20 20480 4123 6144
21 20480 6804 10240
22 20480 9112 14336
23 24576 9611 15360
24 24576 9112 14336
25 24576 6804 10240
26 24576 8725 12288
27 28672 10529 14336
28 28672 11960 16384
29 32768 13607 18432
30 36864 14545 19456
31 36864 15519 20480
32 36864 18662 24576
33 40960 19240 25600
34 40960 21102 27648
35 45056 21109 27680
36 45056 23353 31776
37 45056 21109 27680
38 45056 22034 28704
39 45056 25374 32800
40 45056 28692 36896
41 45056 29471 37920
42 45056 29569 38048
43 49152 32023 42144
44 49152 33498 44192
45 49152 32023 42144
46 53248 32592 43168
47 57344 35150 47264
48 57344 32592 43168
49 57344 34293 45216
50 57344 34329 45280
51 57344 38299 49376
52 57344 34329 45280
53 57344 38210 49376
54 57344 38622 49888
55 57344 38210 49376
56 61440 41441 53472
57 61440 41576 53728
58 61440 41441 53472
59 61440 38210 49376
60 61440 34329 45280
61 61440 35552 47328
62 61440 37205 49376
63 61440 35552 47328
64 61440 36787 49376
65 61440 35552 47328
66 61440 36654 49376
67 61440 39889 53472
68 61440 36654 49376
69 61440 35552 47328
70 61440 36800 49376
71 61440 35552 47328
72 61440 34329 45280
73 61440 35180 46304
74 61440 34329 45280
75 61440 34293 45216
76 61440 37789 49312
77 61440 41628 53408
78 65536 44405 57504
79 65536 41628 53408
80 65536 44665 57504
81 65536 41628 53408
82 65536 45621 57504
83 65536 45883 58016
84 69632 49051 62112
85 73728 52515 66208
86 73728 49051 62112
87 73728 45883 58016
88 73728 45621 57504
89 73728 46706 59552
90 73728 48782 63648
91 73728 46706 59552
92 73728 49126 63648
93 73728 51758 67744
94 77824 54861 71840
95 81920 57607 75936
96 86016 61526 80032
97 86016 57607 75936
98 86016 60443 80032
99 86016 57607 75936
